unique_row,randomstate,rows,features,gcq,gamma,N,Sq_zz,Sc,Sq_covariant_qka,SVC train,SVC test,sqrt_n,gcq/sqrt_n,untrained_qsvc_train,untrained_qsvc_test,trained_qsvc_train,trained_qsvc_test
40280586_700_10,40280586,700,10,3.0362013027100496,0.5,349,227.81816115415884,12.017087945190724,5.4507194040343165,0.8853868194842407,0.8914285714285715,18.681541692269406,0.1625241295779383,0.8624641833810889,0.8571428571428571,0.8595988538681948,0.8742857142857143
40280586_800_10,40280586,800,10,3.186535596533867,0.5,399,246.0330615141849,13.327768156377715,5.502002587891184,0.8671679197994987,0.8721804511278195,19.974984355438178,0.15952631250328536,0.8771929824561403,0.8471177944862155,0.8646616541353384,0.8546365914786967
40280586_900_10,40280586,900,10,2.9512575269076757,0.5,450,264.2534008543822,14.203606128692627,5.62481689453125,0.8755555555555555,0.8733333333333333,21.213203435596427,0.1391236140202838,0.8577777777777778,0.8333333333333334,0.8577777777777778,0.84
40280586_1000_10,40280586,1000,10,3.1028587496353772,0.5,499,280.17867391656165,14.92263264581561,5.354941129684448,0.8557114228456913,0.884,22.338307903688676,0.13890303433068038,0.8597194388777555,0.846,0.8557114228456913,0.854
56164874_100_10,56164874,100,10,2.257965760550435,0.5,49,45.69118830364693,5.371545402528163,5.970761185901061,0.9183673469387755,0.94,7.0,0.3225665372214907,0.7755102040816326,0.76,0.8163265306122449,0.8
56164874_200_10,56164874,200,10,2.542350350083081,0.5,99,87.0152877716439,6.858945025164019,8.65347424406994,0.98989898989899,0.8585858585858586,9.9498743710662,0.2555158241470993,0.8080808080808081,0.696969696969697,0.8181818181818182,0.7878787878787878
56164874_300_10,56164874,300,10,2.6923248296377227,0.5,150,123.39972515442051,8.310649525385031,10.07137047073553,0.9133333333333333,0.86,12.24744871391589,0.2198274018146023,0.8066666666666666,0.78,0.8333333333333334,0.7733333333333333
56164874_400_10,56164874,400,10,3.100188332840169,0.5,199,154.32903853609608,9.015127922234115,10.9376633636914,0.914572864321608,0.835,14.106735979665885,0.21976652411365227,0.864321608040201,0.765,0.864321608040201,0.81
56164874_500_10,56164874,500,10,3.1453357242212086,0.5,249,185.1123975363938,10.337632012359336,11.8075068378389,0.8795180722891566,0.8554216867469879,15.7797338380595,0.19932755244799513,0.8393574297188755,0.7991967871485943,0.8313253012048193,0.7991967871485943
56164874_600_10,56164874,600,10,3.319547680346806,0.5,300,211.57088394805692,11.32866402957734,12.362112004033406,0.8966666666666666,0.8466666666666667,17.320508075688775,0.1916541746836026,0.8133333333333334,0.7933333333333333,0.79,0.7833333333333333
56164874_700_10,56164874,700,10,3.32181378990365,0.5,349,236.22128055992863,11.721737565734657,12.695319943995855,0.8825214899713467,0.8628571428571429,18.681541692269406,0.17781261550154864,0.8595988538681948,0.8171428571428572,0.8538681948424068,0.8171428571428572
56164874_800_10,56164874,800,10,3.4495719855535008,0.5,399,255.70100509450762,13.216758752590977,13.369756052037701,0.899749373433584,0.8521303258145363,19.974984355438178,0.1726946026175163,0.8370927318295739,0.8170426065162907,0.8521303258145363,0.8320802005012531
